id,nombre,nombre_en,tema,familia,smiles,smiles_ph74,cas,chembl_id,notas
QFDOS-001,Acetilcolina,Acetylcholine,Neurotransmisores,Ester de colina,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,51-84-3,CHEMBL667,Cation cuaternario permanente; agonista endogeno de receptores nicotinicos y muscarinicos; hidrolizado por acetilcolinesterasa
QFDOS-002,Acido L-glutamico,L-Glutamic acid,Neurotransmisores,Aminoacido excitador,N[C@@H](CCC(=O)O)C(=O)O,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],56-86-0,CHEMBL575060,Principal neurotransmisor excitador del SNC; receptores NMDA/AMPA/kainato y mGluR; anion neto -1 a pH 7.4
QFDOS-003,Acido L-aspartico,L-Aspartic acid,Neurotransmisores,Aminoacido excitador,N[C@@H](CC(=O)O)C(=O)O,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],56-84-8,CHEMBL274323,Aminoacido excitador; agonista de receptores NMDA; anion neto -1 a pH 7.4
QFDOS-004,GABA (acido gamma-aminobutirico),gamma-Aminobutyric acid,Neurotransmisores,Aminoacido inhibidor,NCCCC(=O)O,[NH3+]CCCC(=O)[O-],56-12-2,CHEMBL96,Principal neurotransmisor inhibidor del SNC; receptores GABA-A (ionotropico) y GABA-B (metabotropico); zwitterion a pH 7.4
QFDOS-005,Glicina,Glycine,Neurotransmisores,Aminoacido inhibidor,NCC(=O)O,[NH3+]CC(=O)[O-],56-40-6,CHEMBL773,Neurotransmisor inhibidor en medula espinal y tronco; coagonista obligado del receptor NMDA en el sitio de glicina
QFDOS-006,Taurina,Taurine,Neurotransmisores,Aminosulfonico,NCCS(=O)(=O)O,[NH3+]CCS(=O)(=O)[O-],107-35-7,CHEMBL239243,Acido 2-aminoetanosulfonico; modulador inhibidor (receptores GABA-A y de glicina); osmolito; sulfonato totalmente ionizado a pH fisiologico
QFDOS-007,Noradrenalina,Norepinephrine,Neurotransmisores,Catecolamina,NC[C@H](O)c1ccc(O)c(O)c1,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,51-41-2,CHEMBL1437,(R)-(-)-noradrenalina; catecolamina activa sobre adrenoceptores alfa y beta1; catecol sensible a COMT y MAO
QFDOS-008,Dopamina,Dopamine,Neurotransmisores,Catecolamina,NCCc1ccc(O)c(O)c1,[NH3+]CCc1ccc(O)c(O)c1,51-61-6,CHEMBL59,Agonista de receptores D1-D5; precursor de noradrenalina via dopamina beta-hidroxilasa; no atraviesa BHE (de ahi el uso de levodopa)
QFDOS-009,Serotonina (5-HT),Serotonin,Neurotransmisores,Indolamina,NCCc1c[nH]c2ccc(O)cc12,[NH3+]CCc1c[nH]c2ccc(O)cc12,50-67-9,CHEMBL39,5-hidroxitriptamina; derivada de L-triptofano via triptofano hidroxilasa; receptores 5-HT1 a 5-HT7
QFDOS-010,(R)-Metacolina,(R)-Methacholine,Agonistas colinergicos,Ester de colina,C[C@H](C[N+](C)(C)C)OC(C)=O,C[C@H](C[N+](C)(C)C)OC(C)=O,,CHEMBL978,"Distomero: el metilo en beta orienta mal el ester frente al subsitio esterasico y frente al punto anionico del receptor; potencia muscarinica del orden de dos ordenes de magnitud inferior a la del enantiomero S (dato clasico de libro de texto, ~200 veces). ChEMBL almacena la metacolina sin estereoquimica (CHEMBL978, racemico). CAS del cloruro racemico: 62-51-1"
QFDOS-011,(S)-Metacolina,(S)-Methacholine,Agonistas colinergicos,Ester de colina,C[C@@H](C[N+](C)(C)C)OC(C)=O,C[C@@H](C[N+](C)(C)C)OC(C)=O,,CHEMBL978,Eutomero. El grupo beta-metilo confiere selectividad muscarinica (actividad nicotinica residual) y frena la hidrolisis por acetilcolinesterasa; resistente a butirilcolinesterasa. Base del test de provocacion bronquial con metacolina (se administra el racemico). ChEMBL almacena la metacolina sin estereoquimica (CHEMBL978)
QFDOS-012,Muscarina,Muscarine,Agonistas colinergicos,Alcaloide muscarinico,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O,,CHEMBL12587,L-(+)-muscarina (2S 4R 5S) de Amanita muscaria e Inocybe; agonista muscarinico prototipo que da nombre al receptor. Sin funcion ester: no es sustrato de colinesterasas y su accion es prolongada. Amonio cuaternario permanente: no atraviesa la BHE y el sindrome muscarinico es periferico (DUMBELS). Antidoto: atropina
QFDOS-013,Carbacol,Carbachol,Agonistas colinergicos,Carbamato de colina,C[N+](C)(C)CCOC(N)=O,C[N+](C)(C)CCOC(N)=O,,CHEMBL965,"Bioisostero de la acetilcolina: el ester se sustituye por carbamato. El par libre del nitrogeno se deslocaliza sobre el carbonilo y rebaja su electrofilia, de modo que resiste la hidrolisis por acetilcolinesterasa y butirilcolinesterasa y la accion se prolonga. Sin metilo en beta: mantiene actividad muscarinica y nicotinica (agonista mixto) y ademas favorece la liberacion de acetilcolina. Uso topico oftalmico (miosis intraoperatoria, glaucoma); ATC S01EB02 y N07AB01. CAS del cloruro: 51-83-2. ChEMBL: CHEMBL965 es el cation y CHEMBL14 el cloruro"
QFDOS-014,Betanecol,Bethanechol,Agonistas colinergicos,Carbamato de colina,CC(C[N+](C)(C)C)OC(N)=O,CC(C[N+](C)(C)C)OC(N)=O,,CHEMBL1482,"Combina las dos modificaciones del bloque: carbamato (resistencia a colinesterasas) mas metilo en beta (selectividad muscarinica). Resultado: agonista muscarinico selectivo sin actividad nicotinica apreciable y de accion prolongada, activo por via oral. Indicaciones clasicas: retencion urinaria no obstructiva y atonia gastrica o ileo paralitico. Se comercializa como racemico (cloruro, CAS 590-63-6) y por eso se almacena sin estereoquimica, igual que en ChEMBL; el estereocentro existe y el eutomero es el S, por analogia con la metacolina"
QFDOS-015,Atropina,Atropine,Antagonistas muscarinicos,Alcaloide tropanico,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,51-55-8,CHEMBL517712,"Ester de tropina y acido tropico; antagonista competitivo no selectivo de los receptores muscarinicos M1-M5. Es la (+/-)-hiosciamina: el carbono alfa del acido tropico esta sin definir porque el alcaloide racemiza en la extraccion de Atropa belladonna; el eutomero es la (S)-(-)-hiosciamina y la actividad del racemico es aproximadamente la mitad. El anillo de tropano en si es aquiral por su plano de simetria. Amina terciaria (pKa ~9.4): a pH fisiologico predomina protonada pero la fraccion neutra basta para atravesar la BHE, de ahi el sindrome anticolinergico central a dosis altas. Antidoto del envenenamiento por muscarina y por inhibidores de colinesterasa"
QFDOS-016,Escopolamina,Scopolamine,Antagonistas muscarinicos,Alcaloide tropanico,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,51-34-3,,"(-)-hioscina. Es la atropina con un epoxido 6,7 sobre el puente del tropano y un solo enantiomero (no racemiza). El epoxido rompe la simetria del biciclo y anade dos estereocentros. Mayor penetracion en SNC que la atropina pese a la TPSA superior: predominan los efectos centrales (sedacion, amnesia, antiemesis) frente a los perifericos. Uso en cinetosis por via transdermica. El derivado cuaternario butilescopolamina (Buscapina) no atraviesa la BHE y queda como antiespasmodico periferico"
