id,nombre,nombre_en,tema,familia,cas,chembl_id,smiles_entrada,smiles_ph74,carga_neta_ph74,smiles_canonico,formula,mw,masa_exacta,carga_formal,logp,refractividad_molar,tpsa,hbd,hba,enlaces_rotables,atomos_pesados,anillos,anillos_aromaticos,fraccion_csp3,qed,estereocentros_cip,inchi,inchikey,lipinski_violaciones,cumple_lipinski,imagen,notas
QFDOS-046,L-Tirosina,L-Tyrosine,Biosintesis adrenergica,Aminoacido aromatico,60-18-4,CHEMBL925,N[C@@H](Cc1ccc(O)cc1)C(=O)O,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],0,N[C@@H](Cc1ccc(O)cc1)C(=O)O,C9H11NO3,181.19,181.0739,0,0.35,47.42,83.55,3,3,3,13,1,1,0.222,0.628,C2:S,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N,0,Si,img/QFDOS-046_l_tirosina.png,"Aminoácido precursor inicial de la biosíntesis de catecolaminas. Es hidroxilado en la posición 3 del anillo fenílico por la tirosina hidroxilasa (TH, enzima que constituye el paso limitante de velocidad de toda la secuencia) para originar L-DOPA. Especie zwitteriónica neutra a pH fisiológico 7.4. Configuración (S) en el carbono alfa."
QFDOS-047,L-DOPA (Levodopa),Levodopa,Biosintesis adrenergica,Catecolaminoacido,59-92-7,CHEMBL1021,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-],0,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,C9H11NO4,197.19,197.0688,0,0.05,49.09,103.78,4,4,3,14,1,1,0.222,0.513,C2:S,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1",WTDRDQBEARUVNC-LURJTMIESA-N,0,Si,img/QFDOS-047_l_dopa_levodopa.png,"L-3,4-dihidroxifenilalanina. Producto de la tirosina hidroxilasa y sustrato de la L-DOPA descarboxilasa (AADC). Es el pro-fármaco de elección en el tratamiento del Parkinson: al poseer el resto de aminoácido zwitteriónico atraviesa la barrera hematoencefálica (BHE) mediante el transportador de aminoácidos neutros grandes (LAT1), a diferencia de la dopamina libre que no cruza la BHE."
QFDOS-048,Dopamina,Dopamine,Biosintesis adrenergica,Catecolamina,51-61-6,CHEMBL59,NCCc1ccc(O)c(O)c1,[NH3+]CCc1ccc(O)c(O)c1,1,NCCc1ccc(O)c(O)c1,C8H11NO2,153.18,153.079,0,0.6,42.53,66.48,3,3,2,11,1,1,0.25,0.545,aquiral,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",VYFYYTLLBUKUHU-UHFFFAOYSA-N,0,Si,img/QFDOS-048_dopamina.png,"Neurotransmisor central y periférico, precursor biosintético directo de la noradrenalina mediante la dopamina beta-hidroxilasa (DbH). Carece del carboxilato de la DOPA y del OH bencílico de la noradrenalina; amina primaria protonada a pH 7.4 (catión +1). No atraviesa la BHE por difusión pasiva ni por LAT1. Ya catalogada en Tema 1 (QFDOS-008), aquí se contextualiza como eslabón de la ruta adrenérgica."
QFDOS-049,Noradrenalina (Norepinefrina),Norepinephrine,Biosintesis adrenergica,Catecolamina,51-41-2,CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,1,NC[C@H](O)c1ccc(O)c(O)c1,C8H11NO3,169.18,169.0739,0,0.09,43.79,86.71,4,4,2,12,1,1,0.25,0.472,C3:R,"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1",SFLSHLFXELFNJZ-QMMMGPOBSA-N,0,Si,img/QFDOS-049_noradrenalina_norepinefrina.png,"Neurotransmisor principal de las terminaciones postganglionares del sistema simpático y prototipo funcional del Tema 2. Agonista adrenérgico directo con marcada selectividad alfa frente a beta. El eutómero natural es el (R)-(-), cuya conformación orienta el OH bencílico para formar un puente de hidrógeno crucial con el receptor. Inactivada rápidamente por recaptación (NET) y metabolismo por MAO y COMT."
QFDOS-050,Adrenalina (Epinefrina),Epinephrine,Biosintesis adrenergica,Catecolamina,51-43-4,CHEMBL679,CNC[C@H](O)c1ccc(O)c(O)c1,C[NH2+]C[C@H](O)c1ccc(O)c(O)c1,1,CNC[C@H](O)c1ccc(O)c(O)c1,C9H13NO3,183.21,183.0895,0,0.35,48.66,72.72,4,4,3,13,1,1,0.333,0.51,C4:R,"InChI=1S/C9H13NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,9-13H,5H2,1H3/t9-/m0/s1",UCTWMZQNUQWSLP-VIFPVBQESA-N,0,Si,img/QFDOS-050_adrenalina_epinefrina.png,"Hormona de la médula adrenal producida por N-metilación de la noradrenalina mediante la feniletanolamina N-metiltransferasa (PNMT). Agonista potente no selectivo tanto de receptores alfa como beta (alfa1, alfa2, beta1, beta2). La adición del metilo en el nitrógeno incrementa sensiblemente la afinidad por receptores beta sin anular la afinidad alfa. Eutómero (R)-(-)."
QFDOS-051,a-Metiltirosina (Metirosina),Metirosine,Falsos transmisores,Aminoacido aromatico,672-87-7,CHEMBL1200862,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,C[C@]([NH3+])(Cc1ccc(O)cc1)C(=O)[O-],0,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,C10H13NO3,195.22,195.0895,0,0.74,52.04,83.55,3,3,3,14,1,1,0.3,0.664,C2:S,"InChI=1S/C10H13NO3/c1-10(11,9(13)14)6-7-2-4-8(12)5-3-7/h2-5,12H,6,11H2,1H3,(H,13,14)/t10-/m0/s1",NHTGHBARYWONDQ-JTQLQIEISA-N,0,Si,img/QFDOS-051_a_metiltirosina_metirosina.png,"Inhibidor competitivo de la tirosina hidroxilasa. Al bloquear el paso limitante de velocidad de la secuencia biosintética, suprime la producción global de catecolaminas. Empleado como herramienta farmacológica de experimentación y en el manejo del feocromocitoma. El grupo metilo en alfa bloquea además la descarboxilación enzimática por la AADC. Configuración (S)."
QFDOS-052,a-Metildopa,Methyldopa,Falsos transmisores,Catecolaminoacido,555-30-6,CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,C[C@]([NH3+])(Cc1ccc(O)c(O)c1)C(=O)[O-],0,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,C10H13NO4,211.22,211.0845,0,0.44,53.7,103.78,4,4,3,15,1,1,0.3,0.543,C2:S,"InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)/t10-/m0/s1",CJCSPKMFHVPWAR-JTQLQIEISA-N,0,Si,img/QFDOS-052_a_metildopa.png,"Pro-fármaco antihipertensivo de elección en la hipertensión del embarazo. Es un inhibidor competitivo y sustrato de la L-DOPA descarboxilasa. Se metaboliza en las neuronas adrenérgicas a alfa-metildopamina y posteriormente a alfa-metilnoradrenalina, generando un falso neurotransmisor que activa los receptores alfa2 centrales. Cruza la BHE vía transportador LAT1. Configuración (S)."
QFDOS-053,a-Metildopamina,alpha-Methyldopamine,Falsos transmisores,Catecolamina,555-64-6,CHEMBL374497,CC(N)Cc1ccc(O)c(O)c1,CC([NH3+])Cc1ccc(O)c(O)c1,1,CC(N)Cc1ccc(O)c(O)c1,C9H13NO2,167.21,167.0946,0,0.99,47.13,66.48,3,3,2,12,1,1,0.333,0.575,1 centro(s) sin definir,"InChI=1S/C9H13NO2/c1-6(10)4-7-2-3-8(11)9(12)5-7/h2-3,5-6,11-12H,4,10H2,1H3",KSRGADMGIRTXAF-UHFFFAOYSA-N,0,Si,img/QFDOS-053_a_metildopamina.png,"Metabolito intermedio formado en la neurona por descarboxilación de la alfa-metildopa. El grupo metilo en alfa impide su inactivación por la MAO, permitiendo que sea captada por el transportador vesicular VMAT y sirva como sustrato de la dopamina beta-hidroxilasa intravesicular para transformarse en alfa-metilnoradrenalina."
QFDOS-054,a-Metilnoradrenalina (Corbasil),Levonordefrin,Falsos transmisores,Catecolamina,828-35-3,CHEMBL677,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,C[C@H]([NH3+])[C@H](O)c1ccc(O)c(O)c1,1,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,C9H13NO3,183.21,183.0895,0,0.48,48.38,86.71,4,4,2,13,1,1,0.333,0.502,C2:S; C4:R,"InChI=1S/C9H13NO3/c1-5(10)9(13)6-2-3-7(11)8(12)4-6/h2-5,9,11-13H,10H2,1H3/t5-,9-/m0/s1",GEFQWZLICWMTKF-CDUCUWFYSA-N,0,Si,img/QFDOS-054_a_metilnoradrenalina_corbasil.png,"Falso neurotransmisor por excelencia. Se almacena en las vesículas sinápticas en lugar de la noradrenalina y se libera tras la despolarización. Posee alta afinidad y selectividad por receptores alfa2 presinápticos en el SNC, inhibiendo por retroalimentación la descarga del tono simpático central y reduciendo la presión sanguínea. Configuración (1R,2S)-eritro."
QFDOS-055,Disulfiramo,Disulfiram,Moduladores de liberacion y almacenamiento,Ditiocarbamato,97-77-8,CHEMBL964,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,0,CCN(CC)C(=S)SSC(=S)N(CC)CC,C10H20N2S4,296.55,296.0509,0,3.62,86.22,6.48,0,4,4,16,0,0,0.8,0.573,aquiral,"InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3",AUZONCFQVSMFAP-UHFFFAOYSA-N,0,Si,img/QFDOS-055_disulfiramo.png,Disulfuro de tetraetiltiuram. Inhibidor de la dopamina beta-hidroxilasa mediante quelación del ión cobre catalítico e interacción con restos tiol; frena la conversión de dopamina a noradrenalina. Clínicamente empleado como aversivo del alcohol (Antabus) por inhibir irreversiblemente la aldehído deshidrogenasa hepática. Molécula neutra y muy lipófila (logP 3.62).
