id,nombre,nombre_en,tema,familia,cas,chembl_id,smiles_entrada,smiles_ph74,carga_neta_ph74,smiles_canonico,formula,mw,masa_exacta,carga_formal,logp,refractividad_molar,tpsa,hbd,hba,enlaces_rotables,atomos_pesados,anillos,anillos_aromaticos,fraccion_csp3,qed,estereocentros_cip,inchi,inchikey,lipinski_violaciones,cumple_lipinski,imagen,notas
QFDOS-001,Acetilcolina,Acetylcholine,Neurotransmisores,Ester de colina,51-84-3,CHEMBL667,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,1,CC(=O)OCC[N+](C)(C)C,C7H16NO2+,146.21,146.1176,1,0.26,39.53,26.3,0,2,3,10,0,0,0.857,0.421,aquiral,"InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1",OIPILFWXSMYKGL-UHFFFAOYSA-N,0,Si,img/QFDOS-001_acetilcolina.png,Cation cuaternario permanente; agonista endogeno de receptores nicotinicos y muscarinicos; hidrolizado por acetilcolinesterasa
QFDOS-002,Acido L-glutamico,L-Glutamic acid,Neurotransmisores,Aminoacido excitador,56-86-0,CHEMBL575060,N[C@@H](CCC(=O)O)C(=O)O,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],-1,N[C@@H](CCC(=O)O)C(=O)O,C5H9NO4,147.13,147.0532,0,-0.74,32.48,100.62,3,3,4,10,0,0,0.6,0.486,C2:S,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,0,Si,img/QFDOS-002_acido_l_glutamico.png,Principal neurotransmisor excitador del SNC; receptores NMDA/AMPA/kainato y mGluR; anion neto -1 a pH 7.4
QFDOS-003,Acido L-aspartico,L-Aspartic acid,Neurotransmisores,Aminoacido excitador,56-84-8,CHEMBL274323,N[C@@H](CC(=O)O)C(=O)O,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],-1,N[C@@H](CC(=O)O)C(=O)O,C4H7NO4,133.1,133.0375,0,-1.13,27.86,100.62,3,3,3,9,0,0,0.5,0.452,C2:S,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",CKLJMWTZIZZHCS-REOHCLBHSA-N,0,Si,img/QFDOS-003_acido_l_aspartico.png,Aminoacido excitador; agonista de receptores NMDA; anion neto -1 a pH 7.4
QFDOS-004,GABA (acido gamma-aminobutirico),gamma-Aminobutyric acid,Neurotransmisores,Aminoacido inhibidor,56-12-2,CHEMBL96,NCCCC(=O)O,[NH3+]CCCC(=O)[O-],0,NCCCC(=O)O,C4H9NO2,103.12,103.0633,0,-0.19,25.92,63.32,2,2,3,7,0,0,0.75,0.52,aquiral,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",BTCSSZJGUNDROE-UHFFFAOYSA-N,0,Si,img/QFDOS-004_gaba_acido_gamma_aminobutirico.png,Principal neurotransmisor inhibidor del SNC; receptores GABA-A (ionotropico) y GABA-B (metabotropico); zwitterion a pH 7.4
QFDOS-005,Glicina,Glycine,Neurotransmisores,Aminoacido inhibidor,56-40-6,CHEMBL773,NCC(=O)O,[NH3+]CC(=O)[O-],0,NCC(=O)O,C2H5NO2,75.07,75.032,0,-0.97,16.69,63.32,2,2,1,5,0,0,0.5,0.421,aquiral,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",DHMQDGOQFOQNFH-UHFFFAOYSA-N,0,Si,img/QFDOS-005_glicina.png,Neurotransmisor inhibidor en medula espinal y tronco; coagonista obligado del receptor NMDA en el sitio de glicina
QFDOS-006,Taurina,Taurine,Neurotransmisores,Aminosulfonico,107-35-7,CHEMBL239243,NCCS(=O)(=O)O,[NH3+]CCS(=O)(=O)[O-],0,NCCS(=O)(=O)O,C2H7NO3S,125.15,125.0147,0,-1.17,25.47,80.39,2,3,2,7,0,0,1.0,0.456,aquiral,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",XOAAWQZATWQOTB-UHFFFAOYSA-N,0,Si,img/QFDOS-006_taurina.png,Acido 2-aminoetanosulfonico; modulador inhibidor (receptores GABA-A y de glicina); osmolito; sulfonato totalmente ionizado a pH fisiologico
QFDOS-007,Noradrenalina,Norepinephrine,Neurotransmisores,Catecolamina,51-41-2,CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,1,NC[C@H](O)c1ccc(O)c(O)c1,C8H11NO3,169.18,169.0739,0,0.09,43.79,86.71,4,4,2,12,1,1,0.25,0.472,C3:R,"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1",SFLSHLFXELFNJZ-QMMMGPOBSA-N,0,Si,img/QFDOS-007_noradrenalina.png,(R)-(-)-noradrenalina; catecolamina activa sobre adrenoceptores alfa y beta1; catecol sensible a COMT y MAO
QFDOS-008,Dopamina,Dopamine,Neurotransmisores,Catecolamina,51-61-6,CHEMBL59,NCCc1ccc(O)c(O)c1,[NH3+]CCc1ccc(O)c(O)c1,1,NCCc1ccc(O)c(O)c1,C8H11NO2,153.18,153.079,0,0.6,42.53,66.48,3,3,2,11,1,1,0.25,0.545,aquiral,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",VYFYYTLLBUKUHU-UHFFFAOYSA-N,0,Si,img/QFDOS-008_dopamina.png,Agonista de receptores D1-D5; precursor de noradrenalina via dopamina beta-hidroxilasa; no atraviesa BHE (de ahi el uso de levodopa)
QFDOS-009,Serotonina (5-HT),Serotonin,Neurotransmisores,Indolamina,50-67-9,CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,[NH3+]CCc1c[nH]c2ccc(O)cc12,1,NCCc1c[nH]c2ccc(O)cc12,C10H12N2O,176.22,176.095,0,1.37,52.72,62.04,3,2,2,13,2,2,0.2,0.647,aquiral,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",QZAYGJVTTNCVMB-UHFFFAOYSA-N,0,Si,img/QFDOS-009_serotonina_5_ht.png,5-hidroxitriptamina; derivada de L-triptofano via triptofano hidroxilasa; receptores 5-HT1 a 5-HT7
QFDOS-010,(R)-Metacolina,(R)-Methacholine,Agonistas colinergicos,Ester de colina,,CHEMBL978,C[C@H](C[N+](C)(C)C)OC(C)=O,C[C@H](C[N+](C)(C)C)OC(C)=O,1,CC(=O)O[C@H](C)C[N+](C)(C)C,C8H18NO2+,160.24,160.1332,1,0.64,44.13,26.3,0,2,3,11,0,0,0.875,0.447,C2:R,"InChI=1S/C8H18NO2/c1-7(11-8(2)10)6-9(3,4)5/h7H,6H2,1-5H3/q+1/t7-/m1/s1",NZWOPGCLSHLLPA-SSDOTTSWSA-N,0,Si,img/QFDOS-010_r_metacolina.png,"Distomero: el metilo en beta orienta mal el ester frente al subsitio esterasico y frente al punto anionico del receptor; potencia muscarinica del orden de dos ordenes de magnitud inferior a la del enantiomero S (dato clasico de libro de texto, ~200 veces). ChEMBL almacena la metacolina sin estereoquimica (CHEMBL978, racemico). CAS del cloruro racemico: 62-51-1"
