id,nombre,nombre_en,tema,familia,smiles,smiles_ph74,cas,chembl_id,notas
QFDOS-046,L-Tirosina,L-Tyrosine,Biosintesis adrenergica,Aminoacido aromatico,N[C@@H](Cc1ccc(O)cc1)C(=O)O,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],60-18-4,CHEMBL925,"Aminoácido precursor inicial de la biosíntesis de catecolaminas. Es hidroxilado en la posición 3 del anillo fenílico por la tirosina hidroxilasa (TH, enzima que constituye el paso limitante de velocidad de toda la secuencia) para originar L-DOPA. Especie zwitteriónica neutra a pH fisiológico 7.4. Configuración (S) en el carbono alfa."
QFDOS-047,L-DOPA (Levodopa),Levodopa,Biosintesis adrenergica,Catecolaminoacido,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-],59-92-7,CHEMBL1021,"L-3,4-dihidroxifenilalanina. Producto de la tirosina hidroxilasa y sustrato de la L-DOPA descarboxilasa (AADC). Es el pro-fármaco de elección en el tratamiento del Parkinson: al poseer el resto de aminoácido zwitteriónico atraviesa la barrera hematoencefálica (BHE) mediante el transportador de aminoácidos neutros grandes (LAT1), a diferencia de la dopamina libre que no cruza la BHE."
QFDOS-048,Dopamina,Dopamine,Biosintesis adrenergica,Catecolamina,NCCc1ccc(O)c(O)c1,[NH3+]CCc1ccc(O)c(O)c1,51-61-6,CHEMBL59,"Neurotransmisor central y periférico, precursor biosintético directo de la noradrenalina mediante la dopamina beta-hidroxilasa (DbH). Carece del carboxilato de la DOPA y del OH bencílico de la noradrenalina; amina primaria protonada a pH 7.4 (catión +1). No atraviesa la BHE por difusión pasiva ni por LAT1. Ya catalogada en Tema 1 (QFDOS-008), aquí se contextualiza como eslabón de la ruta adrenérgica."
QFDOS-049,Noradrenalina (Norepinefrina),Norepinephrine,Biosintesis adrenergica,Catecolamina,NC[C@H](O)c1ccc(O)c(O)c1,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,51-41-2,CHEMBL1437,"Neurotransmisor principal de las terminaciones postganglionares del sistema simpático y prototipo funcional del Tema 2. Agonista adrenérgico directo con marcada selectividad alfa frente a beta. El eutómero natural es el (R)-(-), cuya conformación orienta el OH bencílico para formar un puente de hidrógeno crucial con el receptor. Inactivada rápidamente por recaptación (NET) y metabolismo por MAO y COMT."
QFDOS-050,Adrenalina (Epinefrina),Epinephrine,Biosintesis adrenergica,Catecolamina,CNC[C@H](O)c1ccc(O)c(O)c1,C[NH2+]C[C@H](O)c1ccc(O)c(O)c1,51-43-4,CHEMBL679,"Hormona de la médula adrenal producida por N-metilación de la noradrenalina mediante la feniletanolamina N-metiltransferasa (PNMT). Agonista potente no selectivo tanto de receptores alfa como beta (alfa1, alfa2, beta1, beta2). La adición del metilo en el nitrógeno incrementa sensiblemente la afinidad por receptores beta sin anular la afinidad alfa. Eutómero (R)-(-)."
QFDOS-051,a-Metiltirosina (Metirosina),Metirosine,Falsos transmisores,Aminoacido aromatico,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,C[C@]([NH3+])(Cc1ccc(O)cc1)C(=O)[O-],672-87-7,CHEMBL1200862,"Inhibidor competitivo de la tirosina hidroxilasa. Al bloquear el paso limitante de velocidad de la secuencia biosintética, suprime la producción global de catecolaminas. Empleado como herramienta farmacológica de experimentación y en el manejo del feocromocitoma. El grupo metilo en alfa bloquea además la descarboxilación enzimática por la AADC. Configuración (S)."
QFDOS-052,a-Metildopa,Methyldopa,Falsos transmisores,Catecolaminoacido,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,C[C@]([NH3+])(Cc1ccc(O)c(O)c1)C(=O)[O-],555-30-6,CHEMBL459,"Pro-fármaco antihipertensivo de elección en la hipertensión del embarazo. Es un inhibidor competitivo y sustrato de la L-DOPA descarboxilasa. Se metaboliza en las neuronas adrenérgicas a alfa-metildopamina y posteriormente a alfa-metilnoradrenalina, generando un falso neurotransmisor que activa los receptores alfa2 centrales. Cruza la BHE vía transportador LAT1. Configuración (S)."
QFDOS-053,a-Metildopamina,alpha-Methyldopamine,Falsos transmisores,Catecolamina,CC(N)Cc1ccc(O)c(O)c1,CC([NH3+])Cc1ccc(O)c(O)c1,555-64-6,CHEMBL374497,"Metabolito intermedio formado en la neurona por descarboxilación de la alfa-metildopa. El grupo metilo en alfa impide su inactivación por la MAO, permitiendo que sea captada por el transportador vesicular VMAT y sirva como sustrato de la dopamina beta-hidroxilasa intravesicular para transformarse en alfa-metilnoradrenalina."
QFDOS-054,a-Metilnoradrenalina (Corbasil),Levonordefrin,Falsos transmisores,Catecolamina,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,C[C@H]([NH3+])[C@H](O)c1ccc(O)c(O)c1,828-35-3,CHEMBL677,"Falso neurotransmisor por excelencia. Se almacena en las vesículas sinápticas en lugar de la noradrenalina y se libera tras la despolarización. Posee alta afinidad y selectividad por receptores alfa2 presinápticos en el SNC, inhibiendo por retroalimentación la descarga del tono simpático central y reduciendo la presión sanguínea. Configuración (1R,2S)-eritro."
QFDOS-055,Disulfiramo,Disulfiram,Moduladores de liberacion y almacenamiento,Ditiocarbamato,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,97-77-8,CHEMBL964,Disulfuro de tetraetiltiuram. Inhibidor de la dopamina beta-hidroxilasa mediante quelación del ión cobre catalítico e interacción con restos tiol; frena la conversión de dopamina a noradrenalina. Clínicamente empleado como aversivo del alcohol (Antabus) por inhibir irreversiblemente la aldehído deshidrogenasa hepática. Molécula neutra y muy lipófila (logP 3.62).
QFDOS-056,Reserpina,Reserpine,Moduladores de liberacion y almacenamiento,Alcaloide indolico,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CC[NH+]3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,50-55-5,CHEMBL772,"Alcaloide de Rauwolfia serpentina. Inhibidor irreversible del transportador vesicular VMAT-2; bloquea la entrada de noradrenalina, dopamina y serotonina a las vesículas presinápticas. Las aminas quedan desprotegidas en el citoplasma y la MAO las degrada rápidamente, agotando las reservas de neurotransmisor. Hipotensor potente pero con severo efecto sedante y depresión psíquica por penetración en SNC."
QFDOS-057,Mediodespidina (Deserpidina),Deserpidine,Moduladores de liberacion y almacenamiento,Alcaloide indolico,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CC[NH+]3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,131-01-1,CHEMBL1200515,"11-desmetoxireserpina. Modificación molecular optimizada de la reserpina en la que se retira el grupo metoxilo del C11 del indol. Conserva idéntica potencia hipotensora periférica que la reserpina pero reduce de forma drástica el efecto sedante y depresor sobre el sistema nervioso central, ilustrando la modulación de efectos secundarios mediante variación molecular."
QFDOS-058,Rescinamina,Rescinnamine,Moduladores de liberacion y almacenamiento,Alcaloide indolico,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CC[NH+]3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,24815-24-5,CHEMBL1668,"Alcaloide de Rauwolfia en el que el resto de ácido trimetoxibenzoico se sustituye por ácido 3,4,5-trimetoxicinámico. Constituye un ejemplo de manual de vinilogía natural: la inserción de la doble ligadura conjugada trans (-CH=CH-) transmite los efectos electrónicos del anillo aromático sobre el carbonilo del éster, manteniendo la afinidad biológica sobre el transportador vesicular VMAT."
QFDOS-059,Guanidina,Guanidine,Moduladores de liberacion y almacenamiento,Guanidina,NC(N)=N,NC(N)=[NH2+],113-00-8,CHEMBL602,"Base nitrogenada muy fuerte (pKa 13.6). Al protonarse sobre el nitrógeno imínico genera el catión guanidinio, el cual presenta una extraordinaria estabilización por resonancia simétrica con tres formas canónicas equivalentes de igual energía (catión Y-aromático). Su alta basicidad y polaridad inspiraron el diseño de fármacos adrenérgicos con carga permanente."
QFDOS-060,Guanetidina,Guanethidine,Moduladores de liberacion y almacenamiento,Guanidina,N=C(N)NCCN1CCCCCCC1,NC(=[NH2+])NCCN1CCCCCCC1,55-65-2,CHEMBL765,"Bloqueante neuronal presináptico que vacía las reservas de noradrenalina. Su grupo guanidino fuertemente básico (pKa > 12) se encuentra 100% ionizado a pH 7.4; por tanto, no atraviesa la BHE y carece por completo de la depresión central y sedación de la reserpina. Utilizada en hipertensión severa. Se sintetiza a partir de cicloheptanona vía transposición de Beckmann."
QFDOS-061,Cloruro de S-metilisotiuronio,S-Methylisothiourea chloride,Moduladores de liberacion y almacenamiento,Sal de isotiourea,CSC(N)=[NH2+].[Cl-],CSC(N)=[NH2+].[Cl-],860-44-6,CHEMBL1235659,"Reactivo electrófilo de guanidinación. En la ruta sintética de la guanetidina, reacciona mediante sustitución nucleófila con la 2-(azepan-1-il)etanamina desprendiendo metanotiol (CH3SH), incorporando de forma directa el grupo guanidino en el extremo de la cadena."
QFDOS-062,"3,4-Dihidroxifenilglicolaldehido (DOPEGAL)",DOPEGAL,Moduladores de liberacion y almacenamiento,Catecolaldehido,O=CC(O)c1ccc(O)c(O)c1,O=CC(O)c1ccc(O)c(O)c1,533-32-4,CHEMBL1231872,"Metabolito aldehídico intermediario de la inactivación de la noradrenalina por la monoaminooxidasa (MAO). La desaminación oxidativa de la cadena lateral genera este aldehído, el cual es rápidamente reducido a 3,4-dihidroxifenilglicol (DOPEG) o metabolizado por COMT a ácido vanilmandélico (VMA)."
QFDOS-063,(-)-Efedrina,(-)-Ephedrine,Agonistas adrenergicos indirectos,Fenilpropanolamina,CN[C@@H](C)[C@@H](O)c1ccccc1,C[NH2+][C@@H](C)[C@@H](O)c1ccccc1,299-42-3,CHEMBL211456,"Alcaloide de Ephedra y prototipo de agonista adrenérgico de acción mixta (activa receptores alfa y beta directamente y estimula la liberación de noradrenalina). Configuración (1R,2S)-(-)-eritro. Carece de OH fenólicos (estable frente a COMT y activa por vía oral) y conserva el OH bencílico, cuya polaridad disminuye su estimulación en SNC frente a la anfetamina."
QFDOS-064,(+)-Pseudoefedrina,(+)-Pseudoephedrine,Agonistas adrenergicos indirectos,Fenilpropanolamina,CN[C@@H](C)[C@H](O)c1ccccc1,C[NH2+][C@@H](C)[C@H](O)c1ccccc1,90-82-4,CHEMBL100,"Diastereoisómero (1S,2S)-(+)-treo de la efedrina. Presenta mucha menor potencia agonista directa sobre receptores adrenérgicos y menor efecto presor cardiovascular, por lo que es ampliamente utilizado como descongestivo nasal oral sin taquicardia severa."
QFDOS-065,Fenilpropanolamina (Norefedrina),Phenylpropanolamine,Agonistas adrenergicos indirectos,Fenilpropanolamina,CC(N)C(O)c1ccccc1,CC([NH3+])C(O)c1ccccc1,14838-15-4,CHEMBL658,"Análogo desmetilado en el nitrógeno de la efedrina (propadrina). Fármaco de acción mixta. El metilo en alfa previene el metabolismo por la MAO, confiriendo alta biodisponibilidad oral. Empleado históricamente como descongestivo y anorexígeno supresor del apetito."
QFDOS-066,Anfetamina,Amphetamine,Agonistas adrenergicos indirectos,Anfetamina,CC(N)Cc1ccccc1,CC([NH3+])Cc1ccccc1,300-62-9,CHEMBL405,"Prototipo de estimulante adrenérgico indirecto puro. Carece de OH fenólicos y de OH bencílico: lipofilia notable (logP 1.58, TPSA 26.02) y difusión masiva al SNC. El metilo en alfa evita la degradación por MAO. Induce liberación presináptica de catecolaminas e invierte los transportadores DAT y NET. Se sintetiza como racemato."
QFDOS-067,Dextroanfetamina,Dextroamphetamine,Agonistas adrenergicos indirectos,Anfetamina,C[C@@H](N)Cc1ccccc1,C[C@@H]([NH3+])Cc1ccccc1,51-64-9,CHEMBL44652,"Eutómero (S)-(+) de la anfetamina. Es de 3 a 4 veces más potente que el enantiómero (R)-(-)-levoanfetamina como estimulante locomotor y psicoestimulante en el SNC, manteniendo excelente eficacia en el tratamiento del TDAH y la narcolepsia."
QFDOS-068,Metanfetamina,Methamphetamine,Agonistas adrenergicos indirectos,Anfetamina,CN[C@@H](C)Cc1ccccc1,C[NH2+][C@@H](C)Cc1ccccc1,537-46-2,CHEMBL1201201,"Derivado N-metilado de la dextroanfetamina. El grupo N-metilo eleva la lipofilia (logP 1.84, TPSA 12.03) y reduce la donación de enlaces de hidrógeno, aumentando exponencialmente la velocidad de penetración cerebral y confiriendo un potencial adictivo y neurotóxico devastador. Configuración (S)."
QFDOS-069,Fentermina,Phentermine,Agonistas adrenergicos indirectos,Anfetamina,CC(C)(N)Cc1ccccc1,CC(C)([NH3+])Cc1ccccc1,122-09-8,CHEMBL1574,"alfa,alfa-dimetilfeniletilamina. Los dos grupos metilo sobre el carbono alfa confieren un impedimento estérico total que bloquea el metabolismo oxidativo por la MAO sin requerir estereocentros. Estimulante adrenérgico indirecto utilizado como anorexígeno central para la reducción del apetito."
QFDOS-070,Mefentermina,Mephentermine,Agonistas adrenergicos indirectos,Anfetamina,CNC(C)(C)Cc1ccccc1,C[NH2+]C(C)(C)Cc1ccccc1,100-92-5,CHEMBL1201234,Derivado N-metilado de la fentermina. Actúa predominantemente liberando noradrenalina almacenada en terminaciones simpáticas; vasopresor de acción prolongada empleado en el manejo de la hipotensión arterial durante procedimientos quirúrgicos.
QFDOS-071,Hidroxianfetamina (Paredrina),Hydroxyamphetamine,Agonistas adrenergicos indirectos,Feniletilamina,CC(N)Cc1ccc(O)cc1,CC([NH3+])Cc1ccc(O)cc1,1518-86-1,CHEMBL1546,"4-hidroxianfetamina. Metabolito y fármaco simpaticomimético de acción mixta. La presencia del hidroxilo fenólico en para confiere polaridad (TPSA 46.25) e impide el paso por la barrera hematoencefálica, careciendo de efectos psicoestimulantes centrales. Utilizada como colirio midriático en diagnóstico oftálmico."
QFDOS-072,Isoprenalina (Isoproterenol),Isoprenaline,Agonistas adrenergicos directos,Catecolamina,CC(C)NCC(O)c1ccc(O)c(O)c1,CC(C)[NH2+]CC(O)c1ccc(O)c(O)c1,7683-59-2,CHEMBL434,"Prototipo clásico de agonista beta-adrenérgico directo no selectivo (beta1 = beta2). El sustituyente N-isopropilo voluminoso aprovecha un bolsillo hidrofóbico específico del receptor beta que no existe en el receptor alfa, anulando la acción vasoconstrictora alfa. Broncodilatador potente pero con taquicardia severa beta1 y acción muy corta por metilación meta-fenólica mediada por la COMT. Se maneja como racemato."
QFDOS-073,Isoetarina,Isoetharine,Agonistas adrenergicos directos,Catecolamina,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,CCC([NH2+]C(C)C)C(O)c1ccc(O)c(O)c1,530-08-5,CHEMBL1201213,Primer agonista adrenérgico con selectividad funcional beta2 > beta1 empleado en clínica. Deriva de la isoprenalina incorporando un grupo etilo en el carbono alfa de la cadena lateral. Este resto etilo frena el ataque de la MAO y confiere selectividad por el músculo liso bronquial frente al miocardio cardíaco.
